ant,from,to,m,tracklet,assigned,single,source
Ant,1,600,1,trj_id42_ti1_1_tf1_600,1,1,1
Ant,601,1200,1,trj_id42_ti1_601_tf1_1200,1,1,1
Ant,1201,1800,1,trj_id41_ti1_1201_tf1_1800,1,1,1
Ant,1801,2400,1,trj_id42_ti1_1801_tf1_2400,1,1,1
Ant,2401,3000,1,trj_id42_ti1_2401_tf1_3000,1,1,1
Ant,3001,3600,1,trj_id36_ti1_3001_tf1_3600,1,1,1
Ant,3601,4200,1,trj_id38_ti1_3601_tf1_4200,1,1,1
Ant,4201,4800,1,trj_id36_ti1_4201_tf1_4800,1,1,1
Ant,4801,5095,1,trj_id34_ti1_4801_tf1_5095,1,1,1
Ant,5096,5097,1,trj_id39_ti1_5096_tf1_5097,1,0,1
Ant,5098,5098,1,trj_id40_ti1_5098_tf1_5098,1,1,1
Ant,5099,5518,1,trj_id39_ti1_5099_tf1_5518,1,0,1
Ant,5519,5522,1,trj_id43_ti1_5519_tf1_5522,1,1,1
Ant,5523,6122,1,trj_id39_ti1_5523_tf1_6122,1,0,1
Ant,6123,6722,1,trj_id39_ti1_6123_tf1_6722,1,1,1
Ant,6723,7322,1,trj_id37_ti1_6723_tf1_7322,1,1,1
Ant,7323,7922,1,trj_id37_ti1_7323_tf1_7922,1,1,1
Ant,7923,8522,1,trj_id37_ti1_7923_tf1_8522,1,1,1
Ant,8523,9000,1,trj_id37_ti1_8523_tf1_9000,1,1,1
Larva,1,600,1,trj_id33_ti1_1_tf1_600,1,1,1
Larva,601,1200,1,trj_id33_ti1_601_tf1_1200,1,1,1
Larva,1201,1800,1,trj_id33_ti1_1201_tf1_1800,1,1,1
Larva,1801,2400,1,trj_id33_ti1_1801_tf1_2400,1,1,1
Larva,2401,3000,1,trj_id33_ti1_2401_tf1_3000,1,1,1
Larva,3001,3600,1,trj_id33_ti1_3001_tf1_3600,1,1,1
Larva,3601,4200,1,trj_id33_ti1_3601_tf1_4200,1,1,1
Larva,4201,4800,1,trj_id33_ti1_4201_tf1_4800,1,1,1
Larva,4801,5095,1,trj_id33_ti1_4801_tf1_5095,1,1,1
Larva,5096,5097,1,trj_id39_ti1_5096_tf1_5097,1,0,0
Larva,5098,5098,1,trj_id39_ti1_5098_tf1_5098,1,1,1
Larva,5099,5518,1,trj_id39_ti1_5099_tf1_5518,1,0,0
Larva,5519,5522,1,trj_id39_ti1_5519_tf1_5522,1,1,1
Larva,5523,6122,1,trj_id39_ti1_5523_tf1_6122,1,0,0
