ant,from,to,m,tracklet,assigned,single,source
Ant,9001,9253,2,trj_id36_ti2_1_tf2_253,1,0,1
Ant,9254,9853,2,trj_id36_ti2_254_tf2_853,1,1,1
Ant,9854,10057,2,trj_id36_ti2_854_tf2_1057,1,0,1
Ant,10058,10303,2,trj_id39_ti2_1058_tf2_1303,1,1,1
Ant,10304,10903,2,trj_id38_ti2_1304_tf2_1903,1,0,1
Ant,10904,11503,2,trj_id36_ti2_1904_tf2_2503,1,1,1
Ant,11504,11611,2,trj_id33_ti2_2504_tf2_2611,1,0,1
Ant,11612,12211,2,trj_id34_ti2_2612_tf2_3211,1,1,1
Ant,12212,12811,2,trj_id34_ti2_3212_tf2_3811,1,1,1
Ant,12812,13411,2,trj_id34_ti2_3812_tf2_4411,1,1,1
Ant,13412,13571,2,trj_id32_ti2_4412_tf2_4571,1,0,1
Ant,13572,14171,2,trj_id34_ti2_4572_tf2_5171,1,1,1
Ant,14172,14771,2,trj_id34_ti2_5172_tf2_5771,1,1,1
Ant,14772,15371,2,trj_id34_ti2_5772_tf2_6371,1,1,1
Ant,15372,15971,2,trj_id34_ti2_6372_tf2_6971,1,1,1
Ant,15972,16571,2,trj_id33_ti2_6972_tf2_7571,1,1,1
Ant,16572,16759,2,trj_id33_ti2_7572_tf2_7759,1,0,1
Ant,16760,16943,2,trj_id33_ti2_7760_tf2_7943,1,1,1
Ant,16944,17543,2,trj_id31_ti2_7944_tf2_8543,1,0,1
Ant,17544,18000,2,trj_id30_ti2_8544_tf2_9000,1,1,1
Larva,9001,9600,2,trj_id26_ti2_1_tf2_600,1,1,1
Larva,9601,10200,2,trj_id25_ti2_601_tf2_1200,1,1,1
Larva,10201,10800,2,trj_id25_ti2_1201_tf2_1800,1,1,1
Larva,10801,11400,2,trj_id25_ti2_1801_tf2_2400,1,1,1
Larva,11401,12000,2,trj_id25_ti2_2401_tf2_3000,1,1,1
Larva,12001,12600,2,trj_id24_ti2_3001_tf2_3600,1,1,1
Larva,12601,13200,2,trj_id24_ti2_3601_tf2_4200,1,1,1
Larva,13201,13800,2,trj_id22_ti2_4201_tf2_4800,1,1,1
Larva,13801,14400,2,trj_id22_ti2_4801_tf2_5400,1,1,1
Larva,14401,15000,2,trj_id22_ti2_5401_tf2_6000,1,1,1
Larva,15001,15600,2,trj_id22_ti2_6001_tf2_6600,1,1,1
Larva,15601,16200,2,trj_id21_ti2_6601_tf2_7200,1,1,1
Larva,16201,16800,2,trj_id21_ti2_7201_tf2_7800,1,1,1
Larva,16801,17400,2,trj_id21_ti2_7801_tf2_8400,1,1,1
Larva,17401,18000,2,trj_id21_ti2_8401_tf2_9000,1,1,1
