ant,from,to,m,tracklet,assigned,single,source
Ant,63001,63023,8,trj_id27_ti8_1_tf8_23,1,1,1
Ant,63024,63068,8,trj_id25_ti8_24_tf8_68,1,0,1
Ant,63069,63070,8,trj_id25_ti8_69_tf8_70,1,0,1
Ant,63071,63073,8,trj_id7_ti8_71_tf8_73,1,1,1
Ant,63074,63129,8,trj_id25_ti8_74_tf8_129,1,0,1
Ant,63130,63700,8,trj_id25_ti8_130_tf8_700,1,1,1
Ant,63701,63727,8,trj_id18_ti8_701_tf8_727,1,0,1
Ant,63728,63730,8,trj_id18_ti8_728_tf8_730,1,1,1
Ant,63731,63737,8,trj_id18_ti8_731_tf8_737,1,0,1
Ant,63738,63947,8,trj_id22_ti8_738_tf8_947,1,1,1
Ant,63948,64020,8,trj_id18_ti8_948_tf8_1020,1,0,1
Ant,64021,64333,8,trj_id38_ti8_1021_tf8_1333,1,1,1
Ant,64334,64364,8,trj_id18_ti8_1334_tf8_1364,1,0,1
Ant,64365,64367,8,trj_id18_ti8_1365_tf8_1367,1,1,1
Ant,64368,64388,8,trj_id18_ti8_1368_tf8_1388,1,0,1
Ant,64389,64408,8,trj_id28_ti8_1389_tf8_1408,1,1,1
Ant,64409,64437,8,trj_id18_ti8_1409_tf8_1437,1,0,1
Ant,64438,64447,8,trj_id18_ti8_1438_tf8_1447,1,1,1
Ant,64448,64448,8,trj_id18_ti8_1448_tf8_1448,1,0,1
Ant,64449,64449,8,trj_id18_ti8_1449_tf8_1449,1,1,1
Ant,64450,64450,8,trj_id13_ti8_1450_tf8_1450,1,0,1
Ant,64451,64454,8,trj_id13_ti8_1451_tf8_1454,1,1,1
Ant,64455,64477,8,trj_id13_ti8_1455_tf8_1477,1,0,1
Ant,64478,64657,8,trj_id23_ti8_1478_tf8_1657,1,1,1
Ant,64658,64694,8,trj_id13_ti8_1658_tf8_1694,1,0,1
Ant,64695,64700,8,trj_id13_ti8_1695_tf8_1700,1,1,1
Ant,64705,64721,8,trj_id13_ti8_1705_tf8_1721,1,1,1
Ant,64722,64722,8,trj_id13_ti8_1722_tf8_1722,1,0,1
Ant,64723,64723,8,trj_id13_ti8_1723_tf8_1723,1,1,1
Ant,64724,64725,8,trj_id10_ti8_1724_tf8_1725,1,0,1
Ant,64726,64767,8,trj_id13_ti8_1726_tf8_1767,1,1,1
Ant,64768,64783,8,trj_id13_ti8_1768_tf8_1783,1,0,1
Ant,64784,64958,8,trj_id38_ti8_1784_tf8_1958,1,1,1
Ant,64959,64981,8,trj_id22_ti8_1959_tf8_1981,1,0,1
Ant,64982,64982,8,trj_id22_ti8_1982_tf8_1982,1,1,1
Ant,64983,64988,8,trj_id26_ti8_1983_tf8_1988,1,0,1
Ant,64989,64997,8,trj_id26_ti8_1989_tf8_1997,1,1,1
Ant,64998,64998,8,trj_id26_ti8_1998_tf8_1998,1,0,1
Ant,64999,65013,8,trj_id26_ti8_1999_tf8_2013,1,1,1
Ant,65014,65037,8,trj_id26_ti8_2014_tf8_2037,1,0,1
Ant,65038,65226,8,trj_id38_ti8_2038_tf8_2226,1,1,1
Ant,65227,65268,8,trj_id26_ti8_2227_tf8_2268,1,0,1
Ant,65269,65269,8,trj_id26_ti8_2269_tf8_2269,1,1,1
Ant,65270,65270,8,trj_id26_ti8_2270_tf8_2270,1,0,1
Ant,65271,65274,8,trj_id26_ti8_2271_tf8_2274,1,1,1
Ant,65300,65306,8,trj_id27_ti8_2300_tf8_2306,1,1,0
Ant,65307,65326,8,trj_id27_ti8_2307_tf8_2326,1,0,1
Ant,65327,65630,8,trj_id41_ti8_2327_tf8_2630,1,1,1
Ant,65631,65685,8,trj_id27_ti8_2631_tf8_2685,1,0,1
Ant,65686,65705,8,trj_id14_ti8_2686_tf8_2705,1,1,1
Ant,65710,65711,8,trj_id14_ti8_2710_tf8_2711,1,1,1
Ant,65712,65783,8,trj_id14_ti8_2712_tf8_2783,1,0,1
Ant,65784,65784,8,trj_id14_ti8_2784_tf8_2784,1,1,1
Ant,65785,66056,8,trj_id14_ti8_2785_tf8_3056,1,0,1
Ant,66057,66119,8,trj_id30_ti8_3057_tf8_3119,1,1,1
Ant,66120,66122,8,trj_id14_ti8_3120_tf8_3122,1,0,1
Ant,66123,66124,8,trj_id18_ti8_3123_tf8_3124,1,1,1
Ant,66125,66126,8,trj_id14_ti8_3125_tf8_3126,1,0,1
Ant,66127,66178,8,trj_id23_ti8_3127_tf8_3178,1,1,1
Ant,66179,66179,8,trj_id18_ti8_3179_tf8_3179,1,0,1
Ant,66180,66187,8,trj_id23_ti8_3180_tf8_3187,1,1,1
Ant,66188,66193,8,trj_id23_ti8_3188_tf8_3193,1,0,1
Ant,66194,66198,8,trj_id32_ti8_3194_tf8_3198,1,1,1
Ant,66199,66200,8,trj_id9_ti8_3199_tf8_3200,1,0,1
Ant,66201,66204,8,trj_id32_ti8_3201_tf8_3204,1,1,1
Ant,66205,66205,8,trj_id9_ti8_3205_tf8_3205,1,0,1
Ant,66206,66207,8,trj_id14_ti8_3206_tf8_3207,1,1,1
Ant,66208,66212,8,trj_id9_ti8_3208_tf8_3212,1,0,1
Ant,66213,66213,8,trj_id15_ti8_3213_tf8_3213,1,1,1
Ant,66214,66215,8,trj_id14_ti8_3214_tf8_3215,1,0,1
Ant,66216,66216,8,trj_id36_ti8_3216_tf8_3216,1,1,1
Ant,66217,66220,8,trj_id14_ti8_3217_tf8_3220,1,0,1
Ant,66221,66221,8,trj_id17_ti8_3221_tf8_3221,1,1,1
Ant,66222,66222,8,trj_id14_ti8_3222_tf8_3222,1,0,1
Ant,66223,66224,8,trj_id17_ti8_3223_tf8_3224,1,1,1
Ant,66225,66225,8,trj_id14_ti8_3225_tf8_3225,1,0,1
Ant,66226,66226,8,trj_id17_ti8_3226_tf8_3226,1,1,1
Ant,66227,66227,8,trj_id14_ti8_3227_tf8_3227,1,0,1
Ant,66228,66228,8,trj_id25_ti8_3228_tf8_3228,1,1,1
Ant,66229,66229,8,trj_id17_ti8_3229_tf8_3229,1,0,1
Ant,66230,66234,8,trj_id28_ti8_3230_tf8_3234,1,1,1
Ant,66235,66238,8,trj_id28_ti8_3235_tf8_3238,1,0,1
Ant,66239,66255,8,trj_id39_ti8_3239_tf8_3255,1,1,1
Ant,66256,66266,8,trj_id9_ti8_3256_tf8_3266,1,0,1
Ant,66267,66267,8,trj_id16_ti8_3267_tf8_3267,1,1,1
Ant,66268,66272,8,trj_id9_ti8_3268_tf8_3272,1,0,1
Ant,66273,66273,8,trj_id36_ti8_3273_tf8_3273,1,1,1
Ant,66274,66351,8,trj_id16_ti8_3274_tf8_3351,1,0,1
Ant,66352,66525,8,trj_id24_ti8_3352_tf8_3525,1,1,1
Ant,66526,66838,8,trj_id24_ti8_3526_tf8_3838,1,0,1
Ant,66839,66839,8,trj_id35_ti8_3839_tf8_3839,1,1,1
Ant,66840,66842,8,trj_id35_ti8_3840_tf8_3842,1,0,1
Ant,66843,66843,8,trj_id35_ti8_3843_tf8_3843,1,1,1
Ant,66844,66846,8,trj_id24_ti8_3844_tf8_3846,1,0,1
Ant,66847,66847,8,trj_id34_ti8_3847_tf8_3847,1,1,1
Ant,66848,66850,8,trj_id35_ti8_3848_tf8_3850,1,0,1
Ant,66851,66851,8,trj_id35_ti8_3851_tf8_3851,1,1,1
Ant,66852,66859,8,trj_id27_ti8_3852_tf8_3859,1,0,1
Ant,66860,66862,8,trj_id39_ti8_3860_tf8_3862,1,1,1
Ant,66863,66868,8,trj_id27_ti8_3863_tf8_3868,1,0,1
Ant,66869,66875,8,trj_id39_ti8_3869_tf8_3875,1,1,1
Ant,66876,66877,8,trj_id27_ti8_3876_tf8_3877,1,0,1
Ant,66878,66879,8,trj_id39_ti8_3878_tf8_3879,1,1,1
Ant,66880,66881,8,trj_id27_ti8_3880_tf8_3881,1,0,1
Ant,66882,66884,8,trj_id40_ti8_3882_tf8_3884,1,1,1
Ant,66885,66885,8,trj_id2_ti8_3885_tf8_3885,1,0,1
Ant,66886,66886,8,trj_id27_ti8_3886_tf8_3886,1,1,1
