ant,from,to,m,tracklet,assigned,single,source
Ant,27001,27192,4,trj_id5_ti4_1_tf4_192,1,0,1
Ant,27193,27198,4,trj_id5_ti4_193_tf4_198,1,1,1
Ant,27199,27211,4,trj_id5_ti4_199_tf4_211,1,0,1
Ant,27212,27253,4,trj_id28_ti4_212_tf4_253,1,1,1
Ant,27254,27273,4,trj_id5_ti4_254_tf4_273,1,0,1
Ant,27274,27374,4,trj_id5_ti4_274_tf4_374,1,1,1
Ant,27375,27409,4,trj_id5_ti4_375_tf4_409,1,0,1
Ant,27410,27440,4,trj_id25_ti4_410_tf4_440,1,1,1
Ant,27441,27601,4,trj_id5_ti4_441_tf4_601,1,0,1
Ant,27602,27629,4,trj_id29_ti4_602_tf4_629,1,1,1
Ant,27630,27709,4,trj_id5_ti4_630_tf4_709,1,0,1
Ant,27710,27718,4,trj_id5_ti4_710_tf4_718,1,1,1
Ant,27719,27744,4,trj_id5_ti4_719_tf4_744,1,0,1
Ant,27745,27766,4,trj_id25_ti4_745_tf4_766,1,1,1
Ant,27767,27884,4,trj_id5_ti4_767_tf4_884,1,0,1
Ant,27885,27891,4,trj_id30_ti4_885_tf4_891,1,1,1
Ant,27892,27968,4,trj_id5_ti4_892_tf4_968,1,0,1
Ant,27969,27995,4,trj_id5_ti4_969_tf4_995,1,1,1
Ant,27996,28010,4,trj_id5_ti4_996_tf4_1010,1,0,1
Ant,28011,28035,4,trj_id28_ti4_1011_tf4_1035,1,1,1
Ant,28036,28097,4,trj_id5_ti4_1036_tf4_1097,1,0,1
Ant,28098,28209,4,trj_id5_ti4_1098_tf4_1209,1,1,1
Ant,28210,28267,4,trj_id5_ti4_1210_tf4_1267,1,0,1
Ant,28268,28287,4,trj_id21_ti4_1268_tf4_1287,1,1,1
Ant,28288,28311,4,trj_id5_ti4_1288_tf4_1311,1,0,1
Ant,28312,28353,4,trj_id5_ti4_1312_tf4_1353,1,1,1
Ant,28354,28370,4,trj_id5_ti4_1354_tf4_1370,1,0,1
Ant,28371,28396,4,trj_id16_ti4_1371_tf4_1396,1,1,1
Ant,28397,28445,4,trj_id5_ti4_1397_tf4_1445,1,0,1
Ant,28446,28472,4,trj_id5_ti4_1446_tf4_1472,1,1,1
Ant,28473,28473,4,trj_id5_ti4_1473_tf4_1473,1,0,1
Ant,28474,28475,4,trj_id5_ti4_1474_tf4_1475,1,1,1
Ant,28476,28588,4,trj_id5_ti4_1476_tf4_1588,1,0,1
Ant,28589,28590,4,trj_id5_ti4_1589_tf4_1590,1,1,1
Ant,28591,28591,4,trj_id5_ti4_1591_tf4_1591,1,0,1
