ant,from,to,m,tracklet,assigned,single,source
Ant,72001,72101,9,trj_id5_ti9_1_tf9_101,1,0,1
Ant,72102,72381,9,trj_id5_ti9_102_tf9_381,1,1,1
Ant,72382,72401,9,trj_id5_ti9_382_tf9_401,1,0,1
Ant,72402,72468,9,trj_id8_ti9_402_tf9_468,1,1,1
Ant,72469,72511,9,trj_id5_ti9_469_tf9_511,1,0,1
Ant,72512,72742,9,trj_id5_ti9_512_tf9_742,1,1,1
Ant,72743,72853,9,trj_id5_ti9_743_tf9_853,1,0,1
Ant,72854,72940,9,trj_id18_ti9_854_tf9_940,1,1,1
Ant,72941,72941,9,trj_id5_ti9_941_tf9_941,1,0,1
Ant,72942,72942,9,trj_id15_ti9_942_tf9_942,1,1,1
Ant,72943,72969,9,trj_id5_ti9_943_tf9_969,1,0,1
Ant,72970,73051,9,trj_id26_ti9_970_tf9_1051,1,1,1
Ant,73052,73413,9,trj_id5_ti9_1052_tf9_1413,1,0,1
Ant,73414,73522,9,trj_id5_ti9_1414_tf9_1522,1,1,1
Ant,73523,73670,9,trj_id5_ti9_1523_tf9_1670,1,0,1
Ant,73671,73679,9,trj_id34_ti9_1671_tf9_1679,1,1,1
Ant,73680,73723,9,trj_id5_ti9_1680_tf9_1723,1,0,1
Ant,73724,73785,9,trj_id5_ti9_1724_tf9_1785,1,1,1
Ant,73786,73815,9,trj_id5_ti9_1786_tf9_1815,1,0,1
Ant,73816,73832,9,trj_id18_ti9_1816_tf9_1832,1,1,1
Ant,73833,73873,9,trj_id5_ti9_1833_tf9_1873,1,0,1
Ant,73874,74105,9,trj_id5_ti9_1874_tf9_2105,1,1,1
Ant,74106,74132,9,trj_id5_ti9_2106_tf9_2132,1,0,1
Ant,74133,74267,9,trj_id35_ti9_2133_tf9_2267,1,1,1
Ant,74268,74286,9,trj_id5_ti9_2268_tf9_2286,1,0,1
Ant,74287,74576,9,trj_id5_ti9_2287_tf9_2576,1,1,1
Ant,74577,74595,9,trj_id5_ti9_2577_tf9_2595,1,0,1
Ant,74596,74795,9,trj_id7_ti9_2596_tf9_2795,1,1,1
Ant,74796,74826,9,trj_id5_ti9_2796_tf9_2826,1,0,1
Ant,74827,74923,9,trj_id3_ti9_2827_tf9_2923,1,1,1
Ant,74924,74925,9,trj_id3_ti9_2924_tf9_2925,1,0,1
Ant,74926,74927,9,trj_id3_ti9_2926_tf9_2927,1,1,1
Ant,74928,74939,9,trj_id3_ti9_2928_tf9_2939,1,0,1
Ant,74940,75147,9,trj_id38_ti9_2940_tf9_3147,1,1,1
Ant,75148,75173,9,trj_id3_ti9_3148_tf9_3173,1,0,1
Ant,75174,75198,9,trj_id3_ti9_3174_tf9_3198,1,1,1
Ant,75199,75220,9,trj_id3_ti9_3199_tf9_3220,1,0,1
