ant,from,to,m,tracklet,assigned,single,source
Ant,72001,72058,9,trj_id12_ti9_1_tf9_58,1,1,1
Ant,72059,72078,9,trj_id12_ti9_59_tf9_78,1,0,1
Ant,72079,72134,9,trj_id25_ti9_79_tf9_134,1,1,1
Ant,72135,72171,9,trj_id12_ti9_135_tf9_171,1,0,1
Ant,72172,72173,9,trj_id12_ti9_172_tf9_173,1,1,1
Ant,72174,72201,9,trj_id11_ti9_174_tf9_201,1,0,1
Ant,72202,72204,9,trj_id19_ti9_202_tf9_204,1,1,1
Ant,72205,72208,9,trj_id11_ti9_205_tf9_208,1,0,1
Ant,72209,72263,9,trj_id30_ti9_209_tf9_263,1,1,1
Ant,72264,72291,9,trj_id11_ti9_264_tf9_291,1,0,1
Ant,72292,72550,9,trj_id11_ti9_292_tf9_550,1,1,1
Ant,72551,72551,9,trj_id11_ti9_551_tf9_551,1,0,1
Ant,72552,72552,9,trj_id17_ti9_552_tf9_552,1,1,1
Ant,72553,72584,9,trj_id17_ti9_553_tf9_584,1,0,1
Ant,72585,72849,9,trj_id18_ti9_585_tf9_849,1,1,1
Ant,72850,72894,9,trj_id17_ti9_850_tf9_894,1,0,1
Ant,72895,73400,9,trj_id4_ti9_895_tf9_1400,1,1,1
Ant,73401,73445,9,trj_id4_ti9_1401_tf9_1445,1,0,1
Ant,73446,73449,9,trj_id36_ti9_1446_tf9_1449,1,1,1
Ant,73450,73496,9,trj_id36_ti9_1450_tf9_1496,1,0,1
Ant,73497,73736,9,trj_id14_ti9_1497_tf9_1736,1,0,1
Ant,73737,73738,9,trj_id36_ti9_1737_tf9_1738,1,0,1
Ant,73739,73923,9,trj_id36_ti9_1739_tf9_1923,1,0,1
Ant,73924,73952,9,trj_id36_ti9_1924_tf9_1952,1,1,1
Ant,73953,73956,9,trj_id21_ti9_1953_tf9_1956,1,0,1
Ant,73957,74019,9,trj_id21_ti9_1957_tf9_2019,1,1,1
Ant,74020,74042,9,trj_id13_ti9_2020_tf9_2042,1,0,1
Ant,74043,74107,9,trj_id13_ti9_2043_tf9_2107,1,1,1
Ant,74108,74108,9,trj_id13_ti9_2108_tf9_2108,1,0,1
Ant,74109,74181,9,trj_id13_ti9_2109_tf9_2181,1,1,1
Ant,74182,74182,9,trj_id13_ti9_2182_tf9_2182,1,0,1
Ant,74183,74185,9,trj_id13_ti9_2183_tf9_2185,1,1,1
Ant,74186,74186,9,trj_id13_ti9_2186_tf9_2186,1,0,1
Ant,74187,74188,9,trj_id13_ti9_2187_tf9_2188,1,1,1
