ant,from,to,m,tracklet,assigned,single,source
Ant,36001,36600,5,trj_id4_ti5_1_tf5_600,1,1,1
Ant,36601,36724,5,trj_id10_ti5_601_tf5_724,1,0,1
Ant,36725,36726,5,trj_id10_ti5_725_tf5_726,1,1,1
Ant,36727,36802,5,trj_id10_ti5_727_tf5_802,1,0,1
Ant,36803,36807,5,trj_id37_ti5_803_tf5_807,1,1,1
Ant,36808,36811,5,trj_id10_ti5_808_tf5_811,1,0,1
Ant,36812,36819,5,trj_id27_ti5_812_tf5_819,1,1,1
Ant,36820,36869,5,trj_id10_ti5_820_tf5_869,1,0,1
Ant,36870,36893,5,trj_id10_ti5_870_tf5_893,1,1,1
Ant,36894,37054,5,trj_id10_ti5_894_tf5_1054,1,0,1
Ant,37055,37072,5,trj_id32_ti5_1055_tf5_1072,1,1,1
Ant,37073,37137,5,trj_id10_ti5_1073_tf5_1137,1,0,1
Ant,37138,37247,5,trj_id10_ti5_1138_tf5_1247,1,1,1
Ant,37248,37349,5,trj_id9_ti5_1248_tf5_1349,1,0,1
Ant,37350,37358,5,trj_id9_ti5_1350_tf5_1358,1,1,1
Ant,37359,37509,5,trj_id9_ti5_1359_tf5_1509,1,0,1
Ant,37510,37526,5,trj_id9_ti5_1510_tf5_1526,1,1,1
Ant,37527,37528,5,trj_id9_ti5_1527_tf5_1528,1,0,1
Ant,37529,37530,5,trj_id9_ti5_1529_tf5_1530,1,1,1
Ant,37531,37536,5,trj_id9_ti5_1531_tf5_1536,1,0,1
Ant,37537,37545,5,trj_id9_ti5_1537_tf5_1545,1,1,1
Ant,37546,37551,5,trj_id9_ti5_1546_tf5_1551,1,0,1
Ant,37552,37557,5,trj_id9_ti5_1552_tf5_1557,1,1,1
Ant,37558,37607,5,trj_id9_ti5_1558_tf5_1607,1,0,1
Ant,37608,37638,5,trj_id5_ti5_1608_tf5_1638,1,1,1
Ant,37647,37647,5,trj_id5_ti5_1647_tf5_1647,1,1,1
Ant,37648,37648,5,trj_id5_ti5_1648_tf5_1648,1,0,1
Ant,37649,37649,5,trj_id5_ti5_1649_tf5_1649,1,1,1
Ant,37650,37659,5,trj_id5_ti5_1650_tf5_1659,1,0,1
Ant,37660,37663,5,trj_id5_ti5_1660_tf5_1663,1,1,1
Ant,37664,37664,5,trj_id5_ti5_1664_tf5_1664,1,0,1
Ant,37665,37711,5,trj_id5_ti5_1665_tf5_1711,1,1,1
Ant,37787,37796,5,trj_id9_ti5_1787_tf5_1796,1,1,1
Ant,37797,37891,5,trj_id3_ti5_1797_tf5_1891,1,0,1
Ant,37892,37926,5,trj_id16_ti5_1892_tf5_1926,1,1,1
Ant,37927,38025,5,trj_id3_ti5_1927_tf5_2025,1,0,1
