ant,from,to,m,tracklet,assigned,single,source
Ant,1,600,1,trj_id47_ti1_1_tf1_600,1,1,1
Ant,601,1200,1,trj_id47_ti1_601_tf1_1200,1,1,1
Ant,1201,1800,1,trj_id45_ti1_1201_tf1_1800,1,1,1
Ant,1801,2169,1,trj_id45_ti1_1801_tf1_2169,1,1,1
Ant,2170,2175,1,trj_id39_ti1_2170_tf1_2175,1,0,1
Ant,2176,2176,1,trj_id45_ti1_2176_tf1_2176,1,1,1
Ant,2177,2179,1,trj_id39_ti1_2177_tf1_2179,1,0,1
Ant,2180,2198,1,trj_id45_ti1_2180_tf1_2198,1,1,1
Ant,2199,2202,1,trj_id39_ti1_2199_tf1_2202,1,0,1
Ant,2203,2203,1,trj_id45_ti1_2203_tf1_2203,1,1,1
Ant,2204,2593,1,trj_id39_ti1_2204_tf1_2593,1,0,1
Ant,2594,2599,1,trj_id39_ti1_2594_tf1_2599,1,0,1
Ant,2600,3199,1,trj_id39_ti1_2600_tf1_3199,1,1,1
Ant,3200,3283,1,trj_id39_ti1_3200_tf1_3283,1,0,1
Ant,3284,3320,1,trj_id4_ti1_3284_tf1_3320,1,1,1
Ant,3321,3324,1,trj_id4_ti1_3321_tf1_3324,1,0,1
Ant,3325,3325,1,trj_id4_ti1_3325_tf1_3325,1,1,1
Ant,3326,3326,1,trj_id4_ti1_3326_tf1_3326,1,0,1
Ant,3327,3328,1,trj_id4_ti1_3327_tf1_3328,1,1,1
Ant,3329,3440,1,trj_id4_ti1_3329_tf1_3440,1,0,1
Ant,3441,3441,1,trj_id4_ti1_3441_tf1_3441,1,1,1
Ant,3442,3444,1,trj_id4_ti1_3442_tf1_3444,1,0,1
Ant,3445,3474,1,trj_id4_ti1_3445_tf1_3474,1,1,1
Ant,3475,4074,1,trj_id4_ti1_3475_tf1_4074,1,0,1
Ant,4075,4273,1,trj_id4_ti1_4075_tf1_4273,1,0,1
Ant,4274,4279,1,trj_id4_ti1_4274_tf1_4279,1,1,1
Ant,4280,4535,1,trj_id4_ti1_4280_tf1_4535,1,0,1
Ant,4536,4595,1,trj_id46_ti1_4536_tf1_4595,1,1,1
Ant,4596,5195,1,trj_id27_ti1_4596_tf1_5195,1,0,1
Ant,5196,5795,1,trj_id27_ti1_5196_tf1_5795,1,1,1
Ant,5796,6395,1,trj_id27_ti1_5796_tf1_6395,1,1,1
Ant,6396,6995,1,trj_id26_ti1_6396_tf1_6995,1,1,1
Ant,6996,7595,1,trj_id26_ti1_6996_tf1_7595,1,1,1
Ant,7596,7636,1,trj_id26_ti1_7596_tf1_7636,1,1,1
Ant,7637,7644,1,trj_id26_ti1_7637_tf1_7644,1,0,1
Ant,7645,8244,1,trj_id41_ti1_7645_tf1_8244,1,1,1
Ant,8245,8844,1,trj_id39_ti1_8245_tf1_8844,1,1,1
Ant,8845,9000,1,trj_id39_ti1_8845_tf1_9000,1,1,1
Larva,1,600,1,trj_id40_ti1_1_tf1_600,1,1,1
Larva,601,1200,1,trj_id40_ti1_601_tf1_1200,1,1,1
Larva,1201,1800,1,trj_id39_ti1_1201_tf1_1800,1,1,1
Larva,1801,2169,1,trj_id39_ti1_1801_tf1_2169,1,1,1
Larva,2170,2175,1,trj_id39_ti1_2170_tf1_2175,1,0,0
Larva,2176,2176,1,trj_id39_ti1_2176_tf1_2176,1,1,1
Larva,2177,2179,1,trj_id39_ti1_2177_tf1_2179,1,0,0
Larva,2180,2198,1,trj_id39_ti1_2180_tf1_2198,1,1,1
Larva,2199,2202,1,trj_id39_ti1_2199_tf1_2202,1,0,0
Larva,2203,2203,1,trj_id39_ti1_2203_tf1_2203,1,1,1
Larva,2204,2593,1,trj_id39_ti1_2204_tf1_2593,1,0,0
Larva,2594,2599,1,trj_id39_ti1_2594_tf1_2599,1,0,0
Larva,2600,2600,1,trj_id48_ti1_2600_tf1_2600,1,0,0
Larva,3200,3283,1,trj_id39_ti1_3200_tf1_3283,1,0,0
Larva,3284,3320,1,trj_id39_ti1_3284_tf1_3320,1,1,1
Larva,3321,3324,1,trj_id4_ti1_3321_tf1_3324,1,0,0
Larva,3325,3325,1,trj_id39_ti1_3325_tf1_3325,1,1,1
Larva,3326,3326,1,trj_id4_ti1_3326_tf1_3326,1,0,0
Larva,3327,3328,1,trj_id39_ti1_3327_tf1_3328,1,1,1
Larva,3329,3440,1,trj_id4_ti1_3329_tf1_3440,1,0,0
Larva,3441,3441,1,trj_id39_ti1_3441_tf1_3441,1,1,1
Larva,3442,3444,1,trj_id4_ti1_3442_tf1_3444,1,0,0
Larva,3445,3474,1,trj_id39_ti1_3445_tf1_3474,1,1,1
Larva,3475,4074,1,trj_id4_ti1_3475_tf1_4074,1,0,0
Larva,4075,4273,1,trj_id4_ti1_4075_tf1_4273,1,0,0
Larva,4274,4279,1,trj_id46_ti1_4274_tf1_4279,1,1,1
Larva,4280,4535,1,trj_id4_ti1_4280_tf1_4535,1,0,0
Larva,4536,4595,1,trj_id47_ti1_4536_tf1_4595,1,1,1
Larva,4596,5195,1,trj_id27_ti1_4596_tf1_5195,1,0,0
