ant,from,to,m,tracklet,assigned,single,source
Ant,9001,9600,2,trj_id24_ti2_1_tf2_600,1,1,1
Ant,9601,10200,2,trj_id23_ti2_601_tf2_1200,1,1,1
Ant,10201,10800,2,trj_id24_ti2_1201_tf2_1800,1,1,1
Ant,10801,11400,2,trj_id24_ti2_1801_tf2_2400,1,1,1
Ant,11401,12000,2,trj_id23_ti2_2401_tf2_3000,1,1,1
Ant,12001,12348,2,trj_id23_ti2_3001_tf2_3348,1,0,1
Ant,12349,12371,2,trj_id23_ti2_3349_tf2_3371,1,1,1
Ant,12372,12971,2,trj_id23_ti2_3372_tf2_3971,1,0,1
Ant,12972,13064,2,trj_id23_ti2_3972_tf2_4064,1,0,1
Ant,13065,13081,2,trj_id23_ti2_4065_tf2_4081,1,1,1
Ant,13082,13368,2,trj_id23_ti2_4082_tf2_4368,1,0,1
Ant,13369,13378,2,trj_id32_ti2_4369_tf2_4378,1,1,1
Ant,13379,13384,2,trj_id23_ti2_4379_tf2_4384,1,0,1
Ant,13385,13392,2,trj_id36_ti2_4385_tf2_4392,1,1,1
Ant,13393,13702,2,trj_id23_ti2_4393_tf2_4702,1,0,1
Ant,13703,13706,2,trj_id35_ti2_4703_tf2_4706,1,1,1
Ant,13707,14306,2,trj_id23_ti2_4707_tf2_5306,1,0,1
Ant,14307,14322,2,trj_id23_ti2_5307_tf2_5322,1,0,1
Ant,14323,14328,2,trj_id23_ti2_5323_tf2_5328,1,1,1
Ant,14329,14329,2,trj_id23_ti2_5329_tf2_5329,1,0,1
Ant,14330,14336,2,trj_id23_ti2_5330_tf2_5336,1,1,1
Ant,14337,14340,2,trj_id23_ti2_5337_tf2_5340,1,0,1
Ant,14341,14341,2,trj_id23_ti2_5341_tf2_5341,1,1,1
Ant,14342,14430,2,trj_id23_ti2_5342_tf2_5430,1,0,1
Ant,14431,14441,2,trj_id35_ti2_5431_tf2_5441,1,1,1
Ant,14442,15041,2,trj_id23_ti2_5442_tf2_6041,1,0,1
Ant,15042,15641,2,trj_id19_ti2_6042_tf2_6641,1,1,1
Ant,15642,16205,2,trj_id19_ti2_6642_tf2_7205,1,0,1
Ant,16206,16219,2,trj_id19_ti2_7206_tf2_7219,1,1,1
Ant,16220,16332,2,trj_id19_ti2_7220_tf2_7332,1,0,1
Ant,16333,16354,2,trj_id19_ti2_7333_tf2_7354,1,1,1
Ant,16355,16410,2,trj_id19_ti2_7355_tf2_7410,1,0,1
Ant,16411,16427,2,trj_id32_ti2_7411_tf2_7427,1,1,1
Ant,16428,16652,2,trj_id19_ti2_7428_tf2_7652,1,0,1
Ant,16653,16660,2,trj_id31_ti2_7653_tf2_7660,1,1,1
Ant,16661,17260,2,trj_id19_ti2_7661_tf2_8260,1,0,1
Ant,17261,17860,2,trj_id19_ti2_8261_tf2_8860,1,1,1
Ant,17861,17963,2,trj_id19_ti2_8861_tf2_8963,1,0,1
Ant,17964,17966,2,trj_id31_ti2_8964_tf2_8966,1,1,1
Ant,17967,18000,2,trj_id19_ti2_8967_tf2_9000,1,0,1
Larva,12001,12348,2,trj_id23_ti2_3001_tf2_3348,1,0,0
Larva,12349,12371,2,trj_id36_ti2_3349_tf2_3371,1,1,1
Larva,12372,12971,2,trj_id23_ti2_3372_tf2_3971,1,0,0
Larva,12972,13064,2,trj_id23_ti2_3972_tf2_4064,1,0,0
Larva,13065,13081,2,trj_id35_ti2_4065_tf2_4081,1,1,1
Larva,13082,13368,2,trj_id23_ti2_4082_tf2_4368,1,0,0
Larva,13369,13378,2,trj_id23_ti2_4369_tf2_4378,1,1,1
Larva,13379,13384,2,trj_id23_ti2_4379_tf2_4384,1,0,0
Larva,13385,13392,2,trj_id23_ti2_4385_tf2_4392,1,1,1
Larva,13393,13702,2,trj_id23_ti2_4393_tf2_4702,1,0,0
Larva,13703,13706,2,trj_id23_ti2_4703_tf2_4706,1,1,1
Larva,13707,14306,2,trj_id23_ti2_4707_tf2_5306,1,0,0
Larva,14307,14322,2,trj_id23_ti2_5307_tf2_5322,1,0,0
Larva,14323,14328,2,trj_id35_ti2_5323_tf2_5328,1,1,0
Larva,14329,14329,2,trj_id23_ti2_5329_tf2_5329,1,0,0
Larva,14330,14336,2,trj_id35_ti2_5330_tf2_5336,1,1,1
Larva,14337,14340,2,trj_id23_ti2_5337_tf2_5340,1,0,0
Larva,14341,14341,2,trj_id35_ti2_5341_tf2_5341,1,1,0
Larva,14342,14430,2,trj_id23_ti2_5342_tf2_5430,1,0,0
Larva,14431,14441,2,trj_id23_ti2_5431_tf2_5441,1,1,1
Larva,14442,15041,2,trj_id23_ti2_5442_tf2_6041,1,0,0
Larva,15642,16205,2,trj_id19_ti2_6642_tf2_7205,1,0,0
Larva,16206,16219,2,trj_id31_ti2_7206_tf2_7219,1,1,1
Larva,16220,16332,2,trj_id19_ti2_7220_tf2_7332,1,0,0
Larva,16333,16354,2,trj_id34_ti2_7333_tf2_7354,1,1,1
Larva,16355,16410,2,trj_id19_ti2_7355_tf2_7410,1,0,0
Larva,16411,16427,2,trj_id19_ti2_7411_tf2_7427,1,1,1
Larva,16428,16652,2,trj_id19_ti2_7428_tf2_7652,1,0,0
Larva,16653,16660,2,trj_id19_ti2_7653_tf2_7660,1,1,1
Larva,16661,17260,2,trj_id19_ti2_7661_tf2_8260,1,0,0
Larva,17861,17963,2,trj_id19_ti2_8861_tf2_8963,1,0,0
Larva,17964,17966,2,trj_id19_ti2_8964_tf2_8966,1,1,1
Larva,17967,18000,2,trj_id19_ti2_8967_tf2_9000,1,0,0
