ant,from,to,m,tracklet,assigned,single,source
Ant,27001,27600,4,trj_id16_ti4_1_tf4_600,1,1,1
Ant,27601,28200,4,trj_id16_ti4_601_tf4_1200,1,1,1
Ant,28201,28290,4,trj_id16_ti4_1201_tf4_1290,1,0,1
Ant,28291,28890,4,trj_id19_ti4_1291_tf4_1890,1,1,1
Ant,28891,29186,4,trj_id19_ti4_1891_tf4_2186,1,0,1
Ant,29187,29194,4,trj_id30_ti4_2187_tf4_2194,1,1,1
Ant,29195,29320,4,trj_id19_ti4_2195_tf4_2320,1,0,1
Ant,29321,29350,4,trj_id28_ti4_2321_tf4_2350,1,1,1
Ant,29351,29359,4,trj_id19_ti4_2351_tf4_2359,1,0,1
Ant,29360,29363,4,trj_id28_ti4_2360_tf4_2363,1,1,1
Ant,29364,29371,4,trj_id19_ti4_2364_tf4_2371,1,0,1
Ant,29372,29372,4,trj_id19_ti4_2372_tf4_2372,1,1,1
Ant,29373,29501,4,trj_id19_ti4_2373_tf4_2501,1,0,1
Ant,29502,29510,4,trj_id28_ti4_2502_tf4_2510,1,1,1
Ant,29511,29511,4,trj_id19_ti4_2511_tf4_2511,1,0,1
Ant,29512,29515,4,trj_id28_ti4_2512_tf4_2515,1,1,1
Ant,29516,30115,4,trj_id19_ti4_2516_tf4_3115,1,0,1
Ant,30116,30546,4,trj_id19_ti4_3116_tf4_3546,1,0,1
Ant,30547,30554,4,trj_id30_ti4_3547_tf4_3554,1,1,1
Ant,30555,31154,4,trj_id19_ti4_3555_tf4_4154,1,0,1
Ant,31155,31523,4,trj_id19_ti4_4155_tf4_4523,1,0,1
Ant,31524,31526,4,trj_id30_ti4_4524_tf4_4526,1,1,1
Ant,31527,31595,4,trj_id19_ti4_4527_tf4_4595,1,0,1
Ant,31596,31610,4,trj_id26_ti4_4596_tf4_4610,1,1,1
Ant,31611,31665,4,trj_id19_ti4_4611_tf4_4665,1,0,1
Ant,31666,31691,4,trj_id32_ti4_4666_tf4_4691,1,1,1
Ant,31692,31730,4,trj_id19_ti4_4692_tf4_4730,1,0,1
Ant,31731,31731,4,trj_id32_ti4_4731_tf4_4731,1,1,1
Ant,31732,31735,4,trj_id19_ti4_4732_tf4_4735,1,0,1
Ant,31736,31737,4,trj_id32_ti4_4736_tf4_4737,1,1,1
Ant,31738,31941,4,trj_id19_ti4_4738_tf4_4941,1,0,1
Ant,31942,31943,4,trj_id13_ti4_4942_tf4_4943,1,1,1
Ant,31944,31944,4,trj_id19_ti4_4944_tf4_4944,1,0,1
Ant,31945,31948,4,trj_id13_ti4_4945_tf4_4948,1,1,1
Ant,31949,31949,4,trj_id13_ti4_4949_tf4_4949,1,0,1
Ant,31950,31951,4,trj_id13_ti4_4950_tf4_4951,1,1,1
Ant,31952,31952,4,trj_id13_ti4_4952_tf4_4952,1,0,1
Ant,31953,31955,4,trj_id13_ti4_4953_tf4_4955,1,1,1
Ant,31956,32174,4,trj_id13_ti4_4956_tf4_5174,1,0,1
Ant,32175,32206,4,trj_id31_ti4_5175_tf4_5206,1,1,1
Ant,32207,32331,4,trj_id13_ti4_5207_tf4_5331,1,0,1
Ant,32332,32336,4,trj_id17_ti4_5332_tf4_5336,1,1,1
Ant,32337,32341,4,trj_id12_ti4_5337_tf4_5341,1,0,1
Ant,32342,32364,4,trj_id16_ti4_5342_tf4_5364,1,1,1
Ant,32365,32367,4,trj_id16_ti4_5365_tf4_5367,1,0,1
Ant,32368,32370,4,trj_id16_ti4_5368_tf4_5370,1,1,1
Ant,32371,32487,4,trj_id16_ti4_5371_tf4_5487,1,0,1
Ant,32488,32512,4,trj_id16_ti4_5488_tf4_5512,1,1,1
Ant,32513,32603,4,trj_id6_ti4_5513_tf4_5603,1,0,1
Ant,32604,32608,4,trj_id6_ti4_5604_tf4_5608,1,1,1
Ant,32609,32609,4,trj_id6_ti4_5609_tf4_5609,1,0,1
Ant,32610,32616,4,trj_id6_ti4_5610_tf4_5616,1,1,1
Ant,32617,32994,4,trj_id6_ti4_5617_tf4_5994,1,0,1
Ant,32995,33011,4,trj_id29_ti4_5995_tf4_6011,1,1,1
Ant,33012,33049,4,trj_id6_ti4_6012_tf4_6049,1,0,1
Ant,33050,33111,4,trj_id27_ti4_6050_tf4_6111,1,1,1
Ant,33112,33176,4,trj_id6_ti4_6112_tf4_6176,1,0,1
Ant,33177,33242,4,trj_id28_ti4_6177_tf4_6242,1,1,1
Ant,33243,33259,4,trj_id6_ti4_6243_tf4_6259,1,0,1
Ant,33260,33260,4,trj_id19_ti4_6260_tf4_6260,1,1,1
Ant,33261,33270,4,trj_id6_ti4_6261_tf4_6270,1,0,1
Ant,33271,33271,4,trj_id24_ti4_6271_tf4_6271,1,1,1
Ant,33272,33272,4,trj_id7_ti4_6272_tf4_6272,1,0,1
Ant,33273,33273,4,trj_id19_ti4_6273_tf4_6273,1,1,1
Ant,33274,33279,4,trj_id7_ti4_6274_tf4_6279,1,0,1
Ant,33280,33280,4,trj_id24_ti4_6280_tf4_6280,1,1,1
Ant,33281,33880,4,trj_id7_ti4_6281_tf4_6880,1,0,1
Ant,33881,33975,4,trj_id7_ti4_6881_tf4_6975,1,0,1
Ant,33976,33980,4,trj_id27_ti4_6976_tf4_6980,1,1,1
Ant,33981,34165,4,trj_id7_ti4_6981_tf4_7165,1,0,1
Ant,34166,34174,4,trj_id22_ti4_7166_tf4_7174,1,1,1
Ant,34175,34211,4,trj_id7_ti4_7175_tf4_7211,1,0,1
Ant,34212,34230,4,trj_id31_ti4_7212_tf4_7230,1,1,1
Ant,34231,34315,4,trj_id22_ti4_7231_tf4_7315,1,0,1
Ant,34316,34318,4,trj_id36_ti4_7316_tf4_7318,1,1,1
Ant,34319,34343,4,trj_id22_ti4_7319_tf4_7343,1,0,1
Ant,34344,34405,4,trj_id30_ti4_7344_tf4_7405,1,1,1
Ant,34406,34407,4,trj_id22_ti4_7406_tf4_7407,1,0,1
Ant,34408,34409,4,trj_id35_ti4_7408_tf4_7409,1,1,1
Ant,34410,34576,4,trj_id22_ti4_7410_tf4_7576,1,0,1
Ant,34577,34641,4,trj_id29_ti4_7577_tf4_7641,1,1,1
Ant,34642,34642,4,trj_id22_ti4_7642_tf4_7642,1,0,1
Ant,34643,34644,4,trj_id29_ti4_7643_tf4_7644,1,1,1
Ant,34645,35090,4,trj_id28_ti4_7645_tf4_8090,1,0,1
Ant,35091,35107,4,trj_id28_ti4_8091_tf4_8107,1,1,1
Ant,35108,35108,4,trj_id15_ti4_8108_tf4_8108,1,0,1
Ant,35109,35113,4,trj_id15_ti4_8109_tf4_8113,1,1,1
Ant,35114,35116,4,trj_id15_ti4_8114_tf4_8116,1,0,1
Ant,35117,35117,4,trj_id15_ti4_8117_tf4_8117,1,1,1
Ant,35118,35120,4,trj_id15_ti4_8118_tf4_8120,1,0,1
Ant,35121,35122,4,trj_id15_ti4_8121_tf4_8122,1,1,1
Ant,35123,35125,4,trj_id15_ti4_8123_tf4_8125,1,0,1
Ant,35126,35128,4,trj_id15_ti4_8126_tf4_8128,1,1,1
Ant,35129,35175,4,trj_id15_ti4_8129_tf4_8175,1,0,1
Ant,35176,35194,4,trj_id36_ti4_8176_tf4_8194,1,1,1
Ant,35195,35255,4,trj_id15_ti4_8195_tf4_8255,1,0,1
Ant,35256,35313,4,trj_id35_ti4_8256_tf4_8313,1,1,1
Ant,35314,35913,4,trj_id15_ti4_8314_tf4_8913,1,0,1
Ant,35914,36000,4,trj_id15_ti4_8914_tf4_9000,1,1,1
Larva,28891,29186,4,trj_id19_ti4_1891_tf4_2186,1,0,0
Larva,29187,29194,4,trj_id19_ti4_2187_tf4_2194,1,1,1
Larva,29195,29320,4,trj_id19_ti4_2195_tf4_2320,1,0,0
Larva,29321,29350,4,trj_id19_ti4_2321_tf4_2350,1,1,1
Larva,29351,29359,4,trj_id19_ti4_2351_tf4_2359,1,0,0
Larva,29360,29363,4,trj_id19_ti4_2360_tf4_2363,1,1,1
Larva,29364,29371,4,trj_id19_ti4_2364_tf4_2371,1,0,0
Larva,29372,29372,4,trj_id29_ti4_2372_tf4_2372,1,1,1
Larva,29373,29501,4,trj_id19_ti4_2373_tf4_2501,1,0,0
Larva,29502,29510,4,trj_id19_ti4_2502_tf4_2510,1,1,1
Larva,29511,29511,4,trj_id19_ti4_2511_tf4_2511,1,0,0
Larva,29512,29515,4,trj_id19_ti4_2512_tf4_2515,1,1,1
Larva,29516,30115,4,trj_id19_ti4_2516_tf4_3115,1,0,0
Larva,30116,30546,4,trj_id19_ti4_3116_tf4_3546,1,0,0
Larva,30547,30554,4,trj_id19_ti4_3547_tf4_3554,1,1,1
Larva,30555,31154,4,trj_id19_ti4_3555_tf4_4154,1,0,0
Larva,31155,31523,4,trj_id19_ti4_4155_tf4_4523,1,0,0
Larva,31524,31526,4,trj_id19_ti4_4524_tf4_4526,1,0,0
Larva,31527,31595,4,trj_id19_ti4_4527_tf4_4595,1,0,0
Larva,31596,31610,4,trj_id19_ti4_4596_tf4_4610,1,0,1
Larva,31611,31665,4,trj_id19_ti4_4611_tf4_4665,1,0,0
Larva,31666,31691,4,trj_id19_ti4_4666_tf4_4691,1,1,1
Larva,31692,31730,4,trj_id19_ti4_4692_tf4_4730,1,0,0
Larva,31731,31731,4,trj_id19_ti4_4731_tf4_4731,1,1,0
Larva,31732,31735,4,trj_id19_ti4_4732_tf4_4735,1,0,0
Larva,31736,31737,4,trj_id19_ti4_4736_tf4_4737,1,1,1
Larva,31738,31941,4,trj_id19_ti4_4738_tf4_4941,1,0,0
Larva,31942,31943,4,trj_id19_ti4_4942_tf4_4943,1,1,1
Larva,31944,31944,4,trj_id19_ti4_4944_tf4_4944,1,0,0
Larva,31945,31948,4,trj_id19_ti4_4945_tf4_4948,1,1,1
Larva,31949,31949,4,trj_id13_ti4_4949_tf4_4949,1,0,0
Larva,31950,31951,4,trj_id19_ti4_4950_tf4_4951,1,1,1
Larva,31952,31952,4,trj_id13_ti4_4952_tf4_4952,1,0,0
Larva,31953,31955,4,trj_id19_ti4_4953_tf4_4955,1,1,1
Larva,31956,32174,4,trj_id13_ti4_4956_tf4_5174,1,0,0
Larva,32175,32206,4,trj_id13_ti4_5175_tf4_5206,1,1,1
Larva,32207,32331,4,trj_id13_ti4_5207_tf4_5331,1,0,0
Larva,32332,32336,4,trj_id27_ti4_5332_tf4_5336,1,1,1
Larva,32337,32341,4,trj_id12_ti4_5337_tf4_5341,1,0,0
Larva,32342,32364,4,trj_id17_ti4_5342_tf4_5364,1,1,1
Larva,32365,32367,4,trj_id16_ti4_5365_tf4_5367,1,0,0
Larva,32368,32370,4,trj_id17_ti4_5368_tf4_5370,1,1,1
Larva,32371,32487,4,trj_id16_ti4_5371_tf4_5487,1,0,0
Larva,32488,32512,4,trj_id12_ti4_5488_tf4_5512,1,1,1
Larva,32513,32603,4,trj_id6_ti4_5513_tf4_5603,1,0,0
Larva,32604,32608,4,trj_id29_ti4_5604_tf4_5608,1,1,1
Larva,32609,32609,4,trj_id6_ti4_5609_tf4_5609,1,0,0
