ant,from,to,m,tracklet,assigned,single,source
Ant,36001,36234,5,trj_id17_ti5_1_tf5_234,1,0,1
Ant,36235,36242,5,trj_id9_ti5_235_tf5_242,1,1,1
Ant,36243,36244,5,trj_id9_ti5_243_tf5_244,1,0,1
Ant,36245,36246,5,trj_id9_ti5_245_tf5_246,1,1,1
Ant,36247,36257,5,trj_id9_ti5_247_tf5_257,1,0,1
Ant,36258,36300,5,trj_id9_ti5_258_tf5_300,1,1,1
Ant,36301,36314,5,trj_id9_ti5_301_tf5_314,1,0,1
Ant,36315,36323,5,trj_id9_ti5_315_tf5_323,1,1,1
Ant,36324,36332,5,trj_id9_ti5_324_tf5_332,1,0,1
Ant,36333,36543,5,trj_id19_ti5_333_tf5_543,1,1,1
Ant,36544,36553,5,trj_id9_ti5_544_tf5_553,1,0,1
Ant,36554,36555,5,trj_id9_ti5_554_tf5_555,1,1,1
Ant,36556,36584,5,trj_id9_ti5_556_tf5_584,1,0,1
Ant,36585,36599,5,trj_id24_ti5_585_tf5_599,1,1,1
Ant,36600,36602,5,trj_id9_ti5_600_tf5_602,1,0,1
Ant,36603,36603,5,trj_id9_ti5_603_tf5_603,1,1,1
Ant,36604,36650,5,trj_id9_ti5_604_tf5_650,1,0,1
Ant,36651,36870,5,trj_id9_ti5_651_tf5_870,1,1,1
Ant,36871,36874,5,trj_id9_ti5_871_tf5_874,1,0,1
Ant,36875,36878,5,trj_id17_ti5_875_tf5_878,1,1,1
Ant,36879,36882,5,trj_id17_ti5_879_tf5_882,1,0,1
Ant,36883,36884,5,trj_id17_ti5_883_tf5_884,1,1,1
Ant,36885,36885,5,trj_id17_ti5_885_tf5_885,1,0,1
Ant,36886,36888,5,trj_id17_ti5_886_tf5_888,1,1,1
Ant,36889,36934,5,trj_id17_ti5_889_tf5_934,1,0,1
Ant,36935,36945,5,trj_id36_ti5_935_tf5_945,1,1,1
Ant,36946,37545,5,trj_id17_ti5_946_tf5_1545,1,0,1
Ant,37546,37667,5,trj_id17_ti5_1546_tf5_1667,1,0,1
Ant,37668,37773,5,trj_id23_ti5_1668_tf5_1773,1,1,1
Ant,37774,37780,5,trj_id23_ti5_1774_tf5_1780,1,0,1
Ant,37781,37783,5,trj_id23_ti5_1781_tf5_1783,1,1,1
Ant,37784,37806,5,trj_id23_ti5_1784_tf5_1806,1,0,1
Ant,37807,37814,5,trj_id28_ti5_1807_tf5_1814,1,1,1
Ant,37815,37825,5,trj_id22_ti5_1815_tf5_1825,1,0,1
Ant,37826,38010,5,trj_id22_ti5_1826_tf5_2010,1,1,1
Ant,38011,38079,5,trj_id22_ti5_2011_tf5_2079,1,0,1
Ant,38080,38095,5,trj_id22_ti5_2080_tf5_2095,1,1,1
Ant,38096,38176,5,trj_id22_ti5_2096_tf5_2176,1,0,1
Ant,38177,38178,5,trj_id22_ti5_2177_tf5_2178,1,1,1
Ant,38179,38181,5,trj_id22_ti5_2179_tf5_2181,1,0,1
Ant,38182,38182,5,trj_id22_ti5_2182_tf5_2182,1,1,1
Ant,38183,38183,5,trj_id22_ti5_2183_tf5_2183,1,0,1
Ant,38184,38185,5,trj_id22_ti5_2184_tf5_2185,1,1,1
Ant,38186,38186,5,trj_id23_ti5_2186_tf5_2186,1,0,1
Ant,38187,38188,5,trj_id23_ti5_2187_tf5_2188,1,1,1
Ant,38189,38193,5,trj_id23_ti5_2189_tf5_2193,1,0,1
Ant,38194,38194,5,trj_id23_ti5_2194_tf5_2194,1,1,1
Ant,38195,38195,5,trj_id23_ti5_2195_tf5_2195,1,0,1
Ant,38196,38196,5,trj_id23_ti5_2196_tf5_2196,1,1,1
Ant,38197,38197,5,trj_id23_ti5_2197_tf5_2197,1,0,1
Ant,38198,38198,5,trj_id23_ti5_2198_tf5_2198,1,1,1
Ant,38199,38204,5,trj_id23_ti5_2199_tf5_2204,1,0,1
Ant,38205,38205,5,trj_id23_ti5_2205_tf5_2205,1,1,1
Ant,38206,38206,5,trj_id23_ti5_2206_tf5_2206,1,0,1
Ant,38207,38207,5,trj_id6_ti5_2207_tf5_2207,1,1,1
Ant,38208,38208,5,trj_id14_ti5_2208_tf5_2208,1,0,1
Ant,38209,38212,5,trj_id14_ti5_2209_tf5_2212,1,1,1
Ant,38213,38215,5,trj_id14_ti5_2213_tf5_2215,1,0,1
Ant,38216,38219,5,trj_id14_ti5_2216_tf5_2219,1,1,1
Ant,38220,38220,5,trj_id14_ti5_2220_tf5_2220,1,0,1
Ant,38221,38227,5,trj_id14_ti5_2221_tf5_2227,1,1,1
Ant,38228,38235,5,trj_id14_ti5_2228_tf5_2235,1,0,1
Ant,38236,38237,5,trj_id14_ti5_2236_tf5_2237,1,1,1
Ant,38238,38238,5,trj_id14_ti5_2238_tf5_2238,1,0,1
Ant,38239,38242,5,trj_id14_ti5_2239_tf5_2242,1,1,1
Ant,38243,38244,5,trj_id14_ti5_2243_tf5_2244,1,0,1
Ant,38245,38245,5,trj_id14_ti5_2245_tf5_2245,1,1,1
Ant,38246,38246,5,trj_id14_ti5_2246_tf5_2246,1,0,1
Ant,38247,38248,5,trj_id14_ti5_2247_tf5_2248,1,1,1
Ant,38249,38249,5,trj_id14_ti5_2249_tf5_2249,1,0,1
Ant,38250,38251,5,trj_id14_ti5_2250_tf5_2251,1,1,1
Ant,38252,38253,5,trj_id14_ti5_2252_tf5_2253,1,0,1
Ant,38254,38258,5,trj_id14_ti5_2254_tf5_2258,1,1,1
Ant,38259,38259,5,trj_id14_ti5_2259_tf5_2259,1,0,1
Ant,38260,38261,5,trj_id14_ti5_2260_tf5_2261,1,1,1
Ant,38262,38267,5,trj_id14_ti5_2262_tf5_2267,1,0,1
