ant,from,to,m,tracklet,assigned,single,source
Ant,81001,81335,10,trj_id34_ti10_1_tf10_335,1,1,1
Ant,81336,81336,10,trj_id28_ti10_336_tf10_336,1,0,1
Ant,81337,81337,10,trj_id28_ti10_337_tf10_337,1,1,1
Ant,81338,81464,10,trj_id30_ti10_338_tf10_464,1,0,1
Ant,81465,81466,10,trj_id36_ti10_465_tf10_466,1,1,1
Ant,81467,81514,10,trj_id30_ti10_467_tf10_514,1,0,1
Ant,81515,81551,10,trj_id22_ti10_515_tf10_551,1,1,1
Ant,81552,81614,10,trj_id22_ti10_552_tf10_614,1,0,1
Ant,81615,81815,10,trj_id35_ti10_615_tf10_815,1,1,1
Ant,81816,81831,10,trj_id22_ti10_816_tf10_831,1,0,1
Ant,81832,81844,10,trj_id22_ti10_832_tf10_844,1,1,1
Ant,81845,81850,10,trj_id22_ti10_845_tf10_850,1,0,1
Ant,81851,81853,10,trj_id22_ti10_851_tf10_853,1,1,1
Ant,81854,81897,10,trj_id30_ti10_854_tf10_897,1,0,1
Ant,81898,82081,10,trj_id38_ti10_898_tf10_1081,1,1,1
Ant,82082,82117,10,trj_id30_ti10_1082_tf10_1117,1,0,1
Ant,82118,82192,10,trj_id30_ti10_1118_tf10_1192,1,1,1
Ant,82193,82193,10,trj_id19_ti10_1193_tf10_1193,1,0,1
Ant,82194,82196,10,trj_id19_ti10_1194_tf10_1196,1,1,1
Ant,82197,82209,10,trj_id14_ti10_1197_tf10_1209,1,0,1
Ant,82210,82513,10,trj_id19_ti10_1210_tf10_1513,1,1,1
Ant,82514,82546,10,trj_id14_ti10_1514_tf10_1546,1,0,1
Ant,82547,82558,10,trj_id29_ti10_1547_tf10_1558,1,1,1
Ant,82559,82620,10,trj_id29_ti10_1559_tf10_1620,1,0,1
Ant,82621,82621,10,trj_id17_ti10_1621_tf10_1621,1,1,1
Ant,82622,82626,10,trj_id17_ti10_1622_tf10_1626,1,0,1
Ant,82627,82627,10,trj_id17_ti10_1627_tf10_1627,1,1,1
Ant,82628,82628,10,trj_id17_ti10_1628_tf10_1628,1,0,1
Ant,82629,82629,10,trj_id25_ti10_1629_tf10_1629,1,1,1
Ant,82630,82637,10,trj_id17_ti10_1630_tf10_1637,1,0,1
Ant,82638,83059,10,trj_id28_ti10_1638_tf10_2059,1,1,1
Ant,83060,83061,10,trj_id17_ti10_2060_tf10_2061,1,0,1
Ant,83062,83062,10,trj_id28_ti10_2062_tf10_2062,1,1,1
Ant,83063,83070,10,trj_id28_ti10_2063_tf10_2070,1,0,1
Ant,83071,83071,10,trj_id28_ti10_2071_tf10_2071,1,1,1
Ant,83072,83097,10,trj_id26_ti10_2072_tf10_2097,1,0,1
Ant,83098,83167,10,trj_id26_ti10_2098_tf10_2167,1,1,1
Ant,83168,83189,10,trj_id26_ti10_2168_tf10_2189,1,0,1
Ant,83190,83253,10,trj_id31_ti10_2190_tf10_2253,1,1,1
Ant,83254,83277,10,trj_id31_ti10_2254_tf10_2277,1,0,1
Ant,83278,83673,10,trj_id31_ti10_2278_tf10_2673,1,1,1
Ant,83674,83828,10,trj_id31_ti10_2674_tf10_2828,1,0,1
Ant,83829,83846,10,trj_id33_ti10_2829_tf10_2846,1,1,1
Ant,83847,83987,10,trj_id25_ti10_2847_tf10_2987,1,0,1
Ant,83988,84001,10,trj_id37_ti10_2988_tf10_3001,1,1,1
Ant,84002,84034,10,trj_id19_ti10_3002_tf10_3034,1,0,1
Ant,84035,84062,10,trj_id19_ti10_3035_tf10_3062,1,1,1
