ant,from,to,m,tracklet,assigned,single,source
Ant,1,600,1,trj_id45_ti1_1_tf1_600,1,1,1
Ant,601,1200,1,trj_id46_ti1_601_tf1_1200,1,1,1
Ant,1201,1744,1,trj_id44_ti1_1201_tf1_1744,1,0,1
Ant,1745,1770,1,trj_id48_ti1_1745_tf1_1770,1,0,1
Ant,1771,1771,1,trj_id48_ti1_1771_tf1_1771,1,1,1
Ant,1772,2371,1,trj_id44_ti1_1772_tf1_2371,1,0,1
Ant,2372,2971,1,trj_id44_ti1_2372_tf1_2971,1,1,1
Ant,2972,3571,1,trj_id15_ti1_2972_tf1_3571,1,1,1
Ant,3572,4171,1,trj_id15_ti1_3572_tf1_4171,1,1,1
Ant,4172,4598,1,trj_id15_ti1_4172_tf1_4598,1,1,1
Ant,4599,5198,1,trj_id15_ti1_4599_tf1_5198,1,0,1
Ant,5199,5382,1,trj_id15_ti1_5199_tf1_5382,1,0,1
Ant,5383,5383,1,trj_id15_ti1_5383_tf1_5383,1,1,1
Ant,5384,5983,1,trj_id15_ti1_5384_tf1_5983,1,0,1
Ant,5984,6305,1,trj_id15_ti1_5984_tf1_6305,1,1,1
Ant,6306,6365,1,trj_id15_ti1_6306_tf1_6365,1,0,1
Ant,6366,6965,1,trj_id44_ti1_6366_tf1_6965,1,1,1
Ant,6966,7565,1,trj_id39_ti1_6966_tf1_7565,1,1,1
Ant,7566,8165,1,trj_id30_ti1_7566_tf1_8165,1,1,1
Ant,8166,8765,1,trj_id30_ti1_8166_tf1_8765,1,1,1
Ant,8766,9000,1,trj_id30_ti1_8766_tf1_9000,1,1,1
Larva,1,600,1,trj_id39_ti1_1_tf1_600,1,1,1
Larva,601,1200,1,trj_id39_ti1_601_tf1_1200,1,1,1
Larva,1201,1800,1,trj_id38_ti1_1201_tf1_1800,1,1,1
Larva,1801,2400,1,trj_id38_ti1_1801_tf1_2400,1,1,1
Larva,2401,3000,1,trj_id38_ti1_2401_tf1_3000,1,1,1
Larva,3001,3600,1,trj_id40_ti1_3001_tf1_3600,1,1,1
Larva,3601,4200,1,trj_id40_ti1_3601_tf1_4200,1,1,1
Larva,4201,4598,1,trj_id40_ti1_4201_tf1_4598,1,1,1
Larva,4599,5198,1,trj_id15_ti1_4599_tf1_5198,1,0,0
Larva,5199,5382,1,trj_id15_ti1_5199_tf1_5382,1,0,0
Larva,5383,5383,1,trj_id34_ti1_5383_tf1_5383,1,1,1
Larva,5384,5983,1,trj_id15_ti1_5384_tf1_5983,1,0,0
