ant,from,to,m,tracklet,assigned,single,source
Ant,36001,36069,5,trj_id28_ti5_1_tf5_69,1,0,1
Ant,36070,36074,5,trj_id28_ti5_70_tf5_74,1,1,1
Ant,36075,36106,5,trj_id24_ti5_75_tf5_106,1,0,1
Ant,36107,36119,5,trj_id29_ti5_107_tf5_119,1,1,1
Ant,36120,36242,5,trj_id24_ti5_120_tf5_242,1,0,1
Ant,36243,36250,5,trj_id24_ti5_243_tf5_250,1,1,1
Ant,36251,36251,5,trj_id13_ti5_251_tf5_251,1,0,1
Ant,36252,36252,5,trj_id17_ti5_252_tf5_252,1,1,1
Ant,36253,36350,5,trj_id13_ti5_253_tf5_350,1,0,1
Ant,36351,36356,5,trj_id29_ti5_351_tf5_356,1,1,1
Ant,36357,36357,5,trj_id29_ti5_357_tf5_357,1,0,1
Ant,36358,36392,5,trj_id29_ti5_358_tf5_392,1,1,1
Ant,36393,36488,5,trj_id13_ti5_393_tf5_488,1,0,1
Ant,36489,36509,5,trj_id24_ti5_489_tf5_509,1,1,1
Ant,36510,36637,5,trj_id13_ti5_510_tf5_637,1,0,1
Ant,36638,36652,5,trj_id33_ti5_638_tf5_652,1,1,1
Ant,36653,36698,5,trj_id13_ti5_653_tf5_698,1,0,1
Ant,36699,36718,5,trj_id32_ti5_699_tf5_718,1,1,1
Ant,36719,36732,5,trj_id26_ti5_719_tf5_732,1,0,1
Ant,36733,36733,5,trj_id32_ti5_733_tf5_733,1,1,1
Ant,36734,37155,5,trj_id26_ti5_734_tf5_1155,1,0,1
Ant,37156,37168,5,trj_id30_ti5_1156_tf5_1168,1,1,1
Ant,37169,37253,5,trj_id26_ti5_1169_tf5_1253,1,0,1
Ant,37254,37267,5,trj_id33_ti5_1254_tf5_1267,1,1,1
Ant,37268,37291,5,trj_id32_ti5_1268_tf5_1291,1,0,1
Ant,37292,37297,5,trj_id31_ti5_1292_tf5_1297,1,1,1
Ant,37298,37426,5,trj_id8_ti5_1298_tf5_1426,1,0,1
Ant,37427,37438,5,trj_id18_ti5_1427_tf5_1438,1,1,1
Ant,37439,37535,5,trj_id12_ti5_1439_tf5_1535,1,0,1
Ant,37536,37540,5,trj_id12_ti5_1536_tf5_1540,1,1,1
Ant,37541,37577,5,trj_id12_ti5_1541_tf5_1577,1,0,1
Ant,37578,37589,5,trj_id23_ti5_1578_tf5_1589,1,1,1
Ant,37590,37590,5,trj_id12_ti5_1590_tf5_1590,1,0,1
Ant,37591,37594,5,trj_id23_ti5_1591_tf5_1594,1,1,1
Ant,37595,37738,5,trj_id12_ti5_1595_tf5_1738,1,0,1
Ant,37739,37757,5,trj_id35_ti5_1739_tf5_1757,1,1,1
Ant,37758,37778,5,trj_id12_ti5_1758_tf5_1778,1,0,1
Ant,37779,37800,5,trj_id12_ti5_1779_tf5_1800,1,1,1
Ant,37801,37834,5,trj_id13_ti5_1801_tf5_1834,1,0,1
Ant,37835,37856,5,trj_id32_ti5_1835_tf5_1856,1,1,1
Ant,37857,37857,5,trj_id31_ti5_1857_tf5_1857,1,0,1
Ant,37858,37858,5,trj_id32_ti5_1858_tf5_1858,1,1,1
Ant,37859,37867,5,trj_id31_ti5_1859_tf5_1867,1,0,1
Ant,37868,37868,5,trj_id32_ti5_1868_tf5_1868,1,1,1
Ant,37869,37871,5,trj_id31_ti5_1869_tf5_1871,1,0,1
Ant,37872,37931,5,trj_id32_ti5_1872_tf5_1931,1,1,1
Ant,37932,38088,5,trj_id18_ti5_1932_tf5_2088,1,0,1
Ant,38089,38103,5,trj_id29_ti5_2089_tf5_2103,1,1,1
Ant,38104,38382,5,trj_id18_ti5_2104_tf5_2382,1,0,1
Ant,38383,38409,5,trj_id18_ti5_2383_tf5_2409,1,1,1
Ant,38410,38428,5,trj_id16_ti5_2410_tf5_2428,1,0,1
Ant,38429,38448,5,trj_id16_ti5_2429_tf5_2448,1,1,1
Ant,38449,38513,5,trj_id28_ti5_2449_tf5_2513,1,0,1
Ant,38514,38553,5,trj_id32_ti5_2514_tf5_2553,1,1,1
Ant,38554,38628,5,trj_id20_ti5_2554_tf5_2628,1,0,1
Ant,38629,38640,5,trj_id30_ti5_2629_tf5_2640,1,1,1
Ant,38641,38641,5,trj_id20_ti5_2641_tf5_2641,1,0,1
Ant,38642,38644,5,trj_id30_ti5_2642_tf5_2644,1,1,1
Ant,38645,38760,5,trj_id20_ti5_2645_tf5_2760,1,0,1
