ant,from,to,m,tracklet,assigned,single,source
Ant,36001,36012,5,trj_id3_ti5_1_tf5_12,1,0,1
Ant,36013,36149,5,trj_id31_ti5_13_tf5_149,1,1,1
Ant,36150,36188,5,trj_id3_ti5_150_tf5_188,1,0,1
Ant,36189,36300,5,trj_id3_ti5_189_tf5_300,1,1,1
Ant,36301,36359,5,trj_id3_ti5_301_tf5_359,1,0,1
Ant,36360,36370,5,trj_id36_ti5_360_tf5_370,1,1,1
Ant,36371,36499,5,trj_id3_ti5_371_tf5_499,1,0,1
Ant,36500,36567,5,trj_id3_ti5_500_tf5_567,1,1,1
Ant,36568,36570,5,trj_id3_ti5_568_tf5_570,1,0,1
Ant,36571,36574,5,trj_id3_ti5_571_tf5_574,1,1,1
Ant,36575,36575,5,trj_id3_ti5_575_tf5_575,1,0,1
Ant,36576,36576,5,trj_id3_ti5_576_tf5_576,1,1,1
Ant,36577,36642,5,trj_id3_ti5_577_tf5_642,1,0,1
Ant,36643,36667,5,trj_id23_ti5_643_tf5_667,1,1,1
Ant,36668,36776,5,trj_id3_ti5_668_tf5_776,1,0,1
Ant,36777,36777,5,trj_id3_ti5_777_tf5_777,1,1,1
Ant,36778,36780,5,trj_id3_ti5_778_tf5_780,1,0,1
Ant,36781,36948,5,trj_id3_ti5_781_tf5_948,1,1,1
Ant,36949,37032,5,trj_id3_ti5_949_tf5_1032,1,0,1
Ant,37033,37114,5,trj_id28_ti5_1033_tf5_1114,1,1,1
Ant,37115,37117,5,trj_id3_ti5_1115_tf5_1117,1,0,1
Ant,37118,37118,5,trj_id21_ti5_1118_tf5_1118,1,1,1
Ant,37119,37225,5,trj_id3_ti5_1119_tf5_1225,1,0,1
Ant,37226,37445,5,trj_id3_ti5_1226_tf5_1445,1,1,1
Ant,37446,37539,5,trj_id3_ti5_1446_tf5_1539,1,0,1
Ant,37540,37652,5,trj_id34_ti5_1540_tf5_1652,1,1,1
Ant,37653,37760,5,trj_id3_ti5_1653_tf5_1760,1,0,1
Ant,37761,37796,5,trj_id3_ti5_1761_tf5_1796,1,1,1
Ant,37797,37797,5,trj_id2_ti5_1797_tf5_1797,1,0,1
Ant,37798,37798,5,trj_id2_ti5_1798_tf5_1798,1,1,1
Ant,37799,37801,5,trj_id2_ti5_1799_tf5_1801,1,0,1
Ant,37802,37802,5,trj_id2_ti5_1802_tf5_1802,1,1,1
Ant,37803,37806,5,trj_id2_ti5_1803_tf5_1806,1,0,1
Ant,37807,37807,5,trj_id2_ti5_1807_tf5_1807,1,1,1
Ant,37808,37834,5,trj_id2_ti5_1808_tf5_1834,1,0,1
Ant,37835,37837,5,trj_id2_ti5_1835_tf5_1837,1,1,1
Ant,37838,37839,5,trj_id2_ti5_1838_tf5_1839,1,0,1
Ant,37840,37840,5,trj_id2_ti5_1840_tf5_1840,1,1,1
Ant,37841,37842,5,trj_id2_ti5_1841_tf5_1842,1,0,1
Ant,37843,37870,5,trj_id2_ti5_1843_tf5_1870,1,1,1
Ant,37871,37871,5,trj_id2_ti5_1871_tf5_1871,1,0,1
Ant,37872,37874,5,trj_id2_ti5_1872_tf5_1874,1,1,1
Ant,37875,37878,5,trj_id2_ti5_1875_tf5_1878,1,0,1
Ant,37879,37884,5,trj_id2_ti5_1879_tf5_1884,1,1,1
Ant,37885,37957,5,trj_id2_ti5_1885_tf5_1957,1,0,1
Ant,37958,37986,5,trj_id2_ti5_1958_tf5_1986,1,1,1
Ant,37987,38049,5,trj_id2_ti5_1987_tf5_2049,1,0,1
Ant,38050,38055,5,trj_id2_ti5_2050_tf5_2055,1,1,1
Ant,38056,38504,5,trj_id2_ti5_2056_tf5_2504,1,0,1
