ant,from,to,m,tracklet,assigned,single,source
Ant,45001,45600,6,trj_id7_ti6_1_tf6_600,1,1,1
Ant,45601,46200,6,trj_id12_ti6_601_tf6_1200,1,1,1
Ant,46201,46800,6,trj_id4_ti6_1201_tf6_1800,1,1,1
Ant,46801,47400,6,trj_id4_ti6_1801_tf6_2400,1,1,1
Ant,47401,47669,6,trj_id10_ti6_2401_tf6_2669,1,1,1
Ant,47670,48269,6,trj_id10_ti6_2670_tf6_3269,1,0,1
Ant,48270,48869,6,trj_id10_ti6_3270_tf6_3869,1,1,1
Ant,48870,49469,6,trj_id10_ti6_3870_tf6_4469,1,1,1
Ant,49470,50069,6,trj_id10_ti6_4470_tf6_5069,1,1,1
Ant,50070,50669,6,trj_id10_ti6_5070_tf6_5669,1,1,1
Ant,50670,51269,6,trj_id10_ti6_5670_tf6_6269,1,1,1
Ant,51270,51869,6,trj_id10_ti6_6270_tf6_6869,1,1,1
Ant,51870,52469,6,trj_id5_ti6_6870_tf6_7469,1,1,1
Ant,52470,53069,6,trj_id5_ti6_7470_tf6_8069,1,1,1
Ant,53070,53107,6,trj_id5_ti6_8070_tf6_8107,1,0,1
Ant,53108,53119,6,trj_id18_ti6_8108_tf6_8119,1,1,1
Ant,53120,53221,6,trj_id5_ti6_8120_tf6_8221,1,0,1
Ant,53222,53250,6,trj_id5_ti6_8222_tf6_8250,1,1,1
Ant,53251,53850,6,trj_id5_ti6_8251_tf6_8850,1,0,1
Ant,53851,54000,6,trj_id5_ti6_8851_tf6_9000,1,1,1
Larva,53070,53107,6,trj_id5_ti6_8070_tf6_8107,1,0,0
Larva,53108,53119,6,trj_id5_ti6_8108_tf6_8119,1,1,1
Larva,53120,53221,6,trj_id5_ti6_8120_tf6_8221,1,0,0
Larva,53222,53250,6,trj_id39_ti6_8222_tf6_8250,1,1,0
Larva,53251,53850,6,trj_id5_ti6_8251_tf6_8850,1,0,0
